2023-07-23 13:43:12,344 Start Time:
2023-07-23 13:43:12,344 20230723-134312
2023-07-23 13:48:05,491 [1,     4] loss: 18.6510
2023-07-23 13:48:05,661 [1,     8] loss: 9.8987
2023-07-23 13:48:05,774 [1,    12] loss: 3.1856
2023-07-23 13:48:05,886 [1,    16] loss: 3.4067
2023-07-23 13:48:05,997 [1,    20] loss: 2.4289
2023-07-23 13:48:06,110 [1,    24] loss: 2.9225
2023-07-23 13:48:06,222 [1,    28] loss: 1.4924
2023-07-23 13:48:06,334 [1,    32] loss: 1.7469
2023-07-23 13:48:06,445 [1,    36] loss: 1.3314
2023-07-23 13:48:06,558 [1,    40] loss: 1.3945
2023-07-23 13:48:06,669 [1,    44] loss: 0.8692
2023-07-23 13:48:06,782 [1,    48] loss: 1.9537
2023-07-23 13:48:06,894 [1,    52] loss: 1.2438
2023-07-23 13:48:07,006 [1,    56] loss: 1.4436
2023-07-23 13:48:07,121 [1,    60] loss: 1.4533
2023-07-23 13:48:07,234 [1,    64] loss: 1.3460
2023-07-23 13:48:07,346 [1,    68] loss: 1.0938
2023-07-23 13:48:07,458 [1,    72] loss: 1.2993
2023-07-23 13:48:07,571 [1,    76] loss: 1.7606
2023-07-23 13:48:07,681 [1,    80] loss: 0.8796
2023-07-23 13:48:54,653 Accuracy of the network on the validation set: 67.14091 %
2023-07-23 13:48:54,656 new_pred 0.671409
2023-07-23 13:48:54,656 best_pred 0.000000
2023-07-23 13:49:23,303 [2,     4] loss: 0.9761
2023-07-23 13:49:23,419 [2,     8] loss: 1.4203
2023-07-23 13:49:23,530 [2,    12] loss: 1.1671
2023-07-23 13:49:23,644 [2,    16] loss: 1.1175
2023-07-23 13:49:23,756 [2,    20] loss: 0.9627
2023-07-23 13:49:23,868 [2,    24] loss: 1.0427
2023-07-23 13:49:23,983 [2,    28] loss: 1.1241
2023-07-23 13:49:24,097 [2,    32] loss: 1.0625
2023-07-23 13:49:24,209 [2,    36] loss: 0.8081
2023-07-23 13:49:24,322 [2,    40] loss: 0.7674
2023-07-23 13:49:24,435 [2,    44] loss: 0.9243
2023-07-23 13:49:24,547 [2,    48] loss: 0.7332
2023-07-23 13:49:24,659 [2,    52] loss: 0.6092
2023-07-23 13:49:24,776 [2,    56] loss: 0.6006
2023-07-23 13:49:24,889 [2,    60] loss: 0.9705
2023-07-23 13:49:25,002 [2,    64] loss: 0.7781
2023-07-23 13:49:25,117 [2,    68] loss: 0.9163
2023-07-23 13:49:25,229 [2,    72] loss: 0.7650
2023-07-23 13:49:25,341 [2,    76] loss: 0.7775
2023-07-23 13:49:25,453 [2,    80] loss: 0.6620
2023-07-23 13:49:55,088 [3,     4] loss: 0.8588
2023-07-23 13:49:55,205 [3,     8] loss: 0.6743
2023-07-23 13:49:55,319 [3,    12] loss: 0.8394
2023-07-23 13:49:55,430 [3,    16] loss: 0.5085
2023-07-23 13:49:55,544 [3,    20] loss: 0.5851
2023-07-23 13:49:55,657 [3,    24] loss: 0.6090
2023-07-23 13:49:55,770 [3,    28] loss: 0.6478
2023-07-23 13:49:55,883 [3,    32] loss: 0.8143
2023-07-23 13:49:55,995 [3,    36] loss: 0.7896
2023-07-23 13:49:56,110 [3,    40] loss: 0.8307
2023-07-23 13:49:56,223 [3,    44] loss: 0.7689
2023-07-23 13:49:56,335 [3,    48] loss: 0.5363
2023-07-23 13:49:56,447 [3,    52] loss: 0.5740
2023-07-23 13:49:56,561 [3,    56] loss: 0.5263
2023-07-23 13:49:56,672 [3,    60] loss: 0.5666
2023-07-23 13:49:56,786 [3,    64] loss: 0.7171
2023-07-23 13:49:56,900 [3,    68] loss: 0.8890
2023-07-23 13:49:57,020 [3,    72] loss: 0.6570
2023-07-23 13:49:57,133 [3,    76] loss: 0.6282
2023-07-23 13:49:57,245 [3,    80] loss: 0.7676
2023-07-23 13:50:26,880 [4,     4] loss: 0.7323
2023-07-23 13:50:26,997 [4,     8] loss: 0.6274
2023-07-23 13:50:27,117 [4,    12] loss: 0.5140
2023-07-23 13:50:27,229 [4,    16] loss: 0.4595
2023-07-23 13:50:27,341 [4,    20] loss: 0.6540
2023-07-23 13:50:27,454 [4,    24] loss: 0.6233
2023-07-23 13:50:27,566 [4,    28] loss: 0.4840
2023-07-23 13:50:27,678 [4,    32] loss: 1.0486
2023-07-23 13:50:27,791 [4,    36] loss: 0.6530
2023-07-23 13:50:27,905 [4,    40] loss: 0.6449
2023-07-23 13:50:28,018 [4,    44] loss: 0.7455
2023-07-23 13:50:28,132 [4,    48] loss: 0.6543
2023-07-23 13:50:28,244 [4,    52] loss: 0.7797
2023-07-23 13:50:28,358 [4,    56] loss: 0.5876
2023-07-23 13:50:28,470 [4,    60] loss: 0.4737
2023-07-23 13:50:28,581 [4,    64] loss: 0.5442
